TimeStamp,Latitude,Longitude,Altitude,TEC
10/21/2011 0:00:00,32.7342,-114.6176,1,5
10/21/2011 0:00:00,32.7422,-114.5819,1,5
10/21/2011 0:00:00,32.7584,-114.5393,1,5
10/21/2011 0:00:00,32.8167,-114.5095,1,5
10/21/2011 0:00:00,32.845,-114.4696,1,5
10/21/2011 0:00:00,32.9107,-114.4817,1,5
10/21/2011 0:00:00,32.9741,-114.4803,1,5
10/21/2011 0:00:00,33.0317,-114.5256,1,5
10/21/2011 0:00:00,33.0259,-114.6094,1,5
10/21/2011 0:00:00,33.0317,-114.6588,1,5
10/21/2011 0:00:00,33.0904,-114.7096,1,5
10/21/2011 0:00:00,33.2065,-114.6849,1,5
10/21/2011 0:00:00,33.2846,-114.722,1,5
10/21/2011 0:00:00,33.3546,-114.6973,1,5
10/21/2011 0:00:00,33.4051,-114.7258,1,5
10/21/2011 0:00:00,33.412,-114.6533,1,5
10/21/2011 0:00:00,33.5016,-114.5888,1,5
10/21/2011 0:00:00,33.5317,-114.5599,1,5
10/21/2011 0:00:00,33.6306,-114.5187,1,5
10/21/2011 0:00:00,33.6786,-114.5297,1,5
10/21/2011 0:00:00,33.7083,-114.494,1,5
10/21/2011 0:00:00,33.7609,-114.5036,1,5
10/21/2011 0:00:00,33.8157,-114.5284,1,5
10/21/2011 0:00:00,33.8545,-114.5325,1,5
10/21/2011 0:00:00,33.9285,-114.538,1,5
10/21/2011 0:00:00,33.953,-114.5235,1,5
10/21/2011 0:00:00,34.0049,-114.4748,1,5
10/21/2011 0:00:00,34.0299,-114.4308,1,5
10/21/2011 0:00:00,34.0891,-114.4363,1,5
10/21/2011 0:00:00,34.1357,-114.3526,1,5
10/21/2011 0:00:00,34.172,-114.2908,1,5
10/21/2011 0:00:00,34.2044,-114.2255,1,5
10/21/2011 0:00:00,34.2595,-114.1685,1,5
10/21/2011 0:00:00,34.2572,-114.1301,1,5
10/21/2011 0:00:00,34.3037,-114.1397,1,5
10/21/2011 0:00:00,34.3664,-114.2276,1,5
10/21/2011 0:00:00,34.4012,-114.2633,1,5
10/21/2011 0:00:00,34.4534,-114.3388,1,5
10/21/2011 0:00:00,34.493,-114.3608,1,5
10/21/2011 0:00:00,34.5292,-114.3811,1,5
10/21/2011 0:00:00,34.5959,-114.4377,1,5
10/21/2011 0:00:00,34.6547,-114.4569,1,5
10/21/2011 0:00:00,34.7506,-114.5297,1,5
10/21/2011 0:00:00,34.8172,-114.5847,1,5
10/21/2011 0:00:00,34.8724,-114.6341,1,5
10/21/2011 0:00:00,34.949,-114.6313,1,5
10/21/2011 0:00:00,35.0342,-114.6351,1,5
10/21/2011 0:00:00,35.1019,-114.6451,1,5
10/21/2011 0:00:00,35.1233,-114.619,1,5
10/21/2011 0:00:00,35.1716,-114.5682,1,5
10/21/2011 0:00:00,35.3364,-114.5984,1,5
10/21/2011 0:00:00,35.4506,-114.6643,1,5
10/21/2011 0:00:00,35.578,-114.6753,1,5
10/21/2011 0:00:00,35.6171,-114.6547,1,5
10/21/2011 0:00:00,35.6528,-114.6918,1,5
10/21/2011 0:00:00,35.7053,-114.7028,1,5
10/21/2011 0:00:00,35.805,-114.7093,1,5
10/21/2011 0:00:00,35.8679,-114.6602,1,5
10/21/2011 0:00:00,35.9836,-114.7426,1,5
10/21/2011 0:00:00,36.0891,-114.7536,1,5
10/21/2011 0:00:00,36.1124,-114.6794,1,5
10/21/2011 0:00:00,36.1423,-114.6327,1,5
10/21/2011 0:00:00,36.1301,-114.4872,1,5
10/21/2011 0:00:00,36.1445,-114.369,1,5
10/21/2011 0:00:00,36.0746,-114.3038,1,5
10/21/2011 0:00:00,36.0602,-114.3172,1,5
10/21/2011 0:00:00,36.0163,-114.2451,1,5
10/21/2011 0:00:00,36.0402,-114.1438,1,5
10/21/2011 0:00:00,36.0979,-114.115,1,5
10/21/2011 0:00:00,36.1101,-114.1274,1,5
10/21/2011 0:00:00,36.119,-114.1054,1,5
10/21/2011 0:00:00,36.1989,-114.0463,1,5
10/21/2011 0:00:00,36.3638,-114.045,1,5
10/21/2011 0:00:00,37.0001,-114.0508,1,5
10/21/2011 0:00:00,41.9983,-124.4009,1,5
10/21/2011 0:00:00,42.0024,-123.6237,1,5
10/21/2011 0:00:00,42.0126,-123.1526,1,5
10/21/2011 0:00:00,42.0075,-122.0073,1,5
10/21/2011 0:00:00,41.9962,-121.2369,1,5
10/21/2011 0:00:00,41.9983,-119.9982,1,5
10/21/2011 0:00:00,39.0021,-120.0037,1,5
10/21/2011 0:00:00,37.5555,-117.9575,1,5
10/21/2011 0:00:00,36.3594,-116.3699,1,5
10/21/2011 0:00:00,35.0075,-114.6368,1,5
10/21/2011 0:00:00,34.9659,-114.6382,1,5
10/21/2011 0:00:00,34.9107,-114.6286,1,5
